link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link
1,1,"(2020)3 QR 481,","1 Introduction In the decision of R v Etheridge (2020)3 QR 481, Sofronoff P observed that the following statements from Alford v",https://www.queenslandjudgments.com.au/case/id/512879,queenslandjudgments,NA: QR
2,1,"(1952)85 CLR 437,","P observed that the following statements from Alford v Magee (1952)85 CLR 437, 466; [1952]HCA 3(Dixon, Williams, Webb, Fullagar, and Kitto JJ)(See also",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1952041631&pubNum=3586&originatingDoc=I97562d70879e11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=a6eb94b965bf4925a0d9cee229290fba&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
3,1,466;,"the following statements from Alford v Magee (1952)85 CLR 437, 466; [1952]HCA 3(Dixon, Williams, Webb, Fullagar, and Kitto JJ)(See also Fingleton",https://jade.io/article/64813/section/141037,jade,NA: JADE
4,1,"[1952]HCA 3(Dixon,","following statements from Alford v Magee (1952)85 CLR 437, 466; [1952]HCA 3(Dixon, Williams, Webb, Fullagar, and Kitto JJ)(See also Fingleton v The",https://www.hcourt.gov.au/sites/default/files/eresources/1952/HCA/3.pdf,hcourt,https://jade.io/article/64813
5,1,"(2005)226 CLR 166,","Webb, Fullagar, and Kitto JJ)(See also Fingleton v The Queen (2005)226 CLR 166, 196-197; [2005]HCA 34)should constitute the preface to this Benchbook: ‘And",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2006843388&pubNum=3586&originatingDoc=Ia55d130087b911e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=0565d82466ad488ea1bc9d5038183a42&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
6,1,196-197;,"Kitto JJ)(See also Fingleton v The Queen (2005)226 CLR 166, 196-197; [2005]HCA 34)should constitute the preface to this Benchbook: ‘And it",https://jade.io/article/309/section/140021,jade,NA: JADE
7,1,[2005]HCA 34)should,"JJ)(See also Fingleton v The Queen (2005)226 CLR 166, 196-197; [2005]HCA 34)should constitute the preface to this Benchbook: ‘And it may be",https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/34.pdf,hcourt,https://jade.io/article/309
8,1,Queen,"not merely taken ready-made ‘off the peg’(See Nembhard v The Queen (1982)74 Cr App R 144, 148). In Holland v The",https://a.next.westlaw.com/Document/I0C36BE70E42811DA8FC2A0F0355337E9/View/FullText.html?navigationPath=Search%2Fv3%2Fsearch%2Fresults%2Fnavigation%2Fi0ad6040d000001537c71e00fa4142741%3FNav%3DINTERNATIONAL-CASES%26fragmentIdentifier%3DI0C36BE70E42811DA8FC2A0F0355337E9%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=4cf985e53c104ae26a8d7f35c0262a08&list=INTERNATIONAL-CASES&rank=1&grading=na&sessionScopeId=9c6398fda1c5a4cf9d809a85968f93cc&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,westlaw,
10,1,148).,"peg’(See Nembhard v The Queen (1982)74 Cr App R 144, 148). In Holland v The Queen (1993)117 ALR 193, 200; [1993]HCA",https://jade.io/citation/3378205/section/140214,jade,NA: JADE
11,1,200;,"144, 148). In Holland v The Queen (1993)117 ALR 193, 200; [1993]HCA 43, the High Court approved a statement in R",https://jade.io/article/67774/section/140125,jade,NA: JADE
12,1,"[1993]HCA 43,","148). In Holland v The Queen (1993)117 ALR 193, 200; [1993]HCA 43, the High Court approved a statement in R v Lawrence",https://jade.io/article/67774,jade,NA: JADE
13,1,"[1982]AC 510,","the High Court approved a statement in R v Lawrence [1982]AC 510, 519 that ‘a direction to a jury should be custom",https://www.iclr.co.uk/document/1971004555/casereport_45849/html,iclr,NA: ICLR
14,1,519,"Court approved a statement in R v Lawrence [1982]AC 510, 519 that ‘a direction to a jury should be custom built",https://jade.io/citation/2795362/section/140093,jade,NA: JADE
15,1,"(2000)112 A Crim R 417,","in relation to a particular case’. Cf R v Mogg (2000)112 A Crim R 417, 426-427 [50]-[52], 429-431 [70]-[74]; [2000]QCA 244; R v Hytch (2000)114",https://anzlaw.thomsonreuters.com/Document/I75a4a99088d411e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau,thomsonreuters,NA: thomsonreuters
16,1,426-427,"case’. Cf R v Mogg (2000)112 A Crim R 417, 426-427 [50]-[52], 429-431 [70]-[74]; [2000]QCA 244; R v Hytch (2000)114 A",https://jade.io/article/166653/section/4362,jade,NA: JADE
18,1,429-431,"R v Mogg (2000)112 A Crim R 417, 426-427 [50]-[52], 429-431 [70]-[74]; [2000]QCA 244; R v Hytch (2000)114 A Crim R",https://jade.io/article/166653/section/31708,jade,NA: JADE
20,1,[2000]QCA 244;,"Mogg (2000)112 A Crim R 417, 426-427 [50]-[52], 429-431 [70]-[74]; [2000]QCA 244; R v Hytch (2000)114 A Crim R 573, 575 [10];",https://www.queenslandjudgments.com.au/caselaw/qca/2000/244,queenslandjudgments,NA: QR
21,1,(2000)114,"417, 426-427 [50]-[52], 429-431 [70]-[74]; [2000]QCA 244; R v Hytch (2000)114 A Crim R 573, 575 [10]; [2000]QCA 315: ‘A trial",https://anzlaw.thomsonreuters.com/Document/I34835ed088ab11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,thomsonreuters,NA: thomsonreuters
23,1,575,"[2000]QCA 244; R v Hytch (2000)114 A Crim R 573, 575 [10]; [2000]QCA 315: ‘A trial judge ordinarily has an obligation",https://jade.io/article/166708/section/140725,jade,NA: JADE
25,1,[2000]QCA 315:,"R v Hytch (2000)114 A Crim R 573, 575 [10]; [2000]QCA 315: ‘A trial judge ordinarily has an obligation to sum up",https://www.queenslandjudgments.com.au/caselaw/qca/2000/315,queenslandjudgments,NA: QR
26,1,[1999]NSWCCA 122)and,cases of both the prosecution and the defence(R v RNS [1999]NSWCCA 122)and to Queensland Supreme and District Courts Criminal Directions Benchbook (2026,https://www.caselaw.nsw.gov.au/decision/549f9b7d3004262463b18074,nsw,
27,2,(2000)199 CLR 620;,them of the arguments of counsel (RPS v The Queen (2000)199 CLR 620; [2000]HCA 3)’. As Sofronoff P explained in R v Sunderland,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2000496633&pubNum=3586&originatingDoc=Idb17678087b311e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=674c6d5109dd4a51b163430e877377de&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
28,2,620; [2000]HCA 3)’.,the arguments of counsel (RPS v The Queen (2000)199 CLR 620; [2000]HCA 3)’. As Sofronoff P explained in R v Sunderland (2020)5 QR,https://anzlaw.thomsonreuters.com/Document/Idb17678087b311e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,thomsonreuters,https://jade.io/article/68197
29,2,"(2020)5 QR 261,","[2000]HCA 3)’. As Sofronoff P explained in R v Sunderland (2020)5 QR 261, 275-278 [55], sample directions are not to be: ‘treated as",https://www.queenslandjudgments.com.au/citation/2020-5-QR-261,queenslandjudgments,NA: QR
30,2,275-278,"Sofronoff P explained in R v Sunderland (2020)5 QR 261, 275-278 [55], sample directions are not to be: ‘treated as a",https://jade.io/article/757345/section/140529,jade,NA: JADE
32,2,"[1973]1 WLR 276,","and helpful. See also McGreevy v Director of Public Prosecutions [1973]1 WLR 276, 281. Trial Judge’s Role in Summing Up A summing up",https://www.iclr.co.uk/document/1971002945/casereport_43533/html,iclr,NA: ICLR
33,2,281,"also McGreevy v Director of Public Prosecutions [1973]1 WLR 276, 281. Trial Judge’s Role in Summing Up A summing up should",https://jade.io/citation/2759931/section/140198,jade,NA: JADE
34,2,"[1981]1 WLR 355,","have the attributes it should display. See R v Landy [1981]1 WLR 355, 367; Flesch v The Queen (1986)7 NSWLR 554, particularly at",https://www.iclr.co.uk/document/1981004518/casereport_75793/html,iclr,NA: ICLR
35,2,367;,"it should display. See R v Landy [1981]1 WLR 355, 367; Flesch v The Queen (1986)7 NSWLR 554, particularly at 558,",https://jade.io/citation/2764448/section/140204,jade,NA: JADE
36,2,"(1986)7 NSWLR 554,","v Landy [1981]1 WLR 355, 367; Flesch v The Queen (1986)7 NSWLR 554, particularly at 558, where Street CJ stated ‘a summing up",https://anzlaw.thomsonreuters.com/Document/If661a9d0881011e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau,thomsonreuters,NA: thomsonreuters
37,2,"558,","367; Flesch v The Queen (1986)7 NSWLR 554, particularly at 558, where Street CJ stated ‘a summing up should be as",https://jade.io/article/806595/section/140465,jade,NA: JADE
38,2,"[1973]1 WLR 488,","to the significance of the evidence. See R v Sparrow [1973]1 WLR 488, 495. In Holland, the High Court approved a statement from",https://www.iclr.co.uk/document/1971004959/casereport_16268/html,iclr,NA: ICLR
39,2,495,"of the evidence. See R v Sparrow [1973]1 WLR 488, 495. In Holland, the High Court approved a statement from Lawrence",https://jade.io/citation/2765095/section/140246,jade,NA: JADE
