link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link,match_score,potential_jade_link_text,potential_jade_link,link_text_match
3018,461,Section 321A–Bomb,s 321A(2) 10.15.1 Legislation [Last reviewed: April 2025] Criminal Code Section 321A–Bomb Hoaxes 10.15.2 Commentary [Last reviewed: April 2025] The Defendant: 1., https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.121212,(1880)5 QBD 307;, https://jade.io/citation/5314252 ,No Match
3942,718,Section 433–Receiving,Criminal Code Section 432–What is tainted property for ch 41 Section 433–Receiving tainted property 13.9.2 Commentary [Last reviewed: March 2025] The defendant, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.125,"1992(Qld),", https://jade.io/article/352736 ,No Match
2601,348,Section 433–Receiving,[Last reviewed: February 2025] Criminal Code Section 391–Definition of Stealing Section 433–Receiving Tainted Property 8.5.2 Commentary [Last reviewed: February 2025] The doctrine, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.126394,"(1987)74 ALR 219,", https://jade.io/article/67375 ,No Match
3941,718,Section 432–What,s 433 13.9.1 Legislation [Last reviewed: March 2025] Criminal Code Section 432–What is tainted property for ch 41 Section 433–Receiving tainted property, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.144578,"1992(Qld),", https://jade.io/article/352736 ,No Match
3017,459,Section 321A–Bomb,s 321A(1) 10.14.1 Legislation [Last reviewed: April 2025] Criminal Code Section 321A–Bomb Hoaxes 10.14.2 Commentary [Last reviewed: April 2025] The defendant: 1., https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.147287,"1992(Qld),", https://jade.io/article/352736 ,No Match
2707,375,Section 291–Killing,s 302(1)(b) 9.3.1 Legislation [Last reviewed: February 2025] Criminal Code Section 291–Killing of human being unlawful Section 293–Definition of killing Section 300–Unlawful, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.165289,11)., https://jade.io/article/722112 ,No Match
2709,375,Section 300–Unlawful,Section 291–Killing of human being unlawful Section 293–Definition of killing Section 300–Unlawful Homicide Section 302–Definition of murder Section 576–Indictment containing count of, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.166667,11)., https://jade.io/article/722112 ,No Match
2711,375,Section 576–Indictment,293–Definition of killing Section 300–Unlawful Homicide Section 302–Definition of murder Section 576–Indictment containing count of murder or manslaughter 9.3.2 Commentary [Last reviewed:, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.171875,11)., https://jade.io/article/722112 ,No Match
2756,389,Section 300–Unlawful,291–Killing of a human being unlawful Section 293–Definition of killing Section 300–Unlawful homicide Section 303–Definition of manslaughter Section 576–Indictment containing count of, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.176678,"(1991)172 CLR 378,", https://jade.io/article/67628 ,No Match
2710,375,Section 302–Definition,human being unlawful Section 293–Definition of killing Section 300–Unlawful Homicide Section 302–Definition of murder Section 576–Indictment containing count of murder or manslaughter, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.180505,"(1991)172 CLR 378,", https://jade.io/article/67628 ,No Match
2757,389,Section 303–Definition,human being unlawful Section 293–Definition of killing Section 300–Unlawful homicide Section 303–Definition of manslaughter Section 576–Indictment containing count of murder or manslaughter, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.186851,"(1991)172 CLR 378,", https://jade.io/article/67628 ,No Match
2600,348,Section 391–Definition,Recent Possession 8.5.1 Legislation [Last reviewed: February 2025] Criminal Code Section 391–Definition of Stealing Section 433–Receiving Tainted Property 8.5.2 Commentary [Last reviewed:, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.194946,"(1987)74 ALR 219,", https://jade.io/article/67375 ,No Match
2654,362,Section 576–Indictment,293–Definition of killing Section 300–Unlawful Homicide Section 302–Definition of murder Section 576–Indictment containing count of murder or manslaughter 9.2.2 Commentary [Last reviewed:, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.199336,"(1991)172 CLR 378,", https://jade.io/article/67628 ,No Match
4099,748,Section 193–False,s 193 15.5.1 Legislation [Last reviewed: January 2025] Criminal Code Section 193–False Verified Statements 15.5.2 Commentary [Last reviewed: January 2025] The defendant, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.202532,"(1974)7 SASR 375,", https://jade.io/citation/2672775 ,No Match
2708,375,Section 293–Definition,February 2025] Criminal Code Section 291–Killing of human being unlawful Section 293–Definition of killing Section 300–Unlawful Homicide Section 302–Definition of murder Section, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.203252,11)., https://jade.io/article/722112 ,No Match
2653,362,Section 302–Definition,human being unlawful Section 293–Definition of killing Section 300–Unlawful Homicide Section 302–Definition of murder Section 576–Indictment containing count of murder or manslaughter, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.215488,"(1991)172 CLR 378,", https://jade.io/article/67628 ,No Match
2782,396,Section 4–Attempts,[Last reviewed: October 2024] Criminal Code Section 306–Attempt to murder Section 4–Attempts to commit offences 9.5.2 Commentary [Last reviewed: October 2024] This, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.221277,"431-432,", https://jade.io/article/165345/section/477 ,No Match
2758,389,Section 576–Indictment,293–Definition of killing Section 300–Unlawful homicide Section 303–Definition of manslaughter Section 576–Indictment containing count of murder or manslaughter 9.4.2 Commentary [Last reviewed:, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.225256,"(1991)172 CLR 378,", https://jade.io/article/67628 ,No Match
4116,753,Section 87–Official,s 87(1) 15.7.1 Legislation [Last reviewed: March 2025] Criminal Code Section 87–Official corruption 15.7.2 Commentary [Last reviewed: March 2025] Section 87(1)contains two, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.225806,161Q, https://jade.io/article/352736/section/443071 ,No Match
4818,899,Section 27–,reviewed: March 2025] Criminal Code Section 26– Presumption of sanity Section 27– Insanity Section 304A–Diminished responsibility 17.26.2 Commentary [Last reviewed: March 2025], https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.229008,(2021)8 QR 338)., https://jade.io/article/821195 ,No Match
3838,688,Section 390–Things,Criminal Code Section 398–Punishment of stealing Section 391–Definition of stealing Section 390–Things capable of being stolen 13.1.2 Commentary [Last reviewed: September 2025], https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.229249,228)., https://jade.io/citation/2421318/section/140897 ,No Match
3165,488,Section 745 -,of the mind Section 229 - Knowledge of age immaterial Section 745 - Application of former s 215 Section 756 - Offences charged, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.233645,161Q, https://jade.io/article/352736/section/443071 ,No Match
3866,699,Section 419–Burglary,13.4.1 Legislation [Last reviewed: September 2024] Criminal Code Section 418–Definitions Section 419–Burglary Section 421 –Entering or being in premises and committing indictable, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.233677,(2009)40 WAR 116Criminal, https://jade.io/article/61116 ,No Match
3816,683,Section 359B–,"October 2025] Criminal Code Section 359A– Definitions for unlawful stalking Section 359B– What is unlawful stalking, intimidation, harassment or abuse Section 359C–", https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.238267,2023(Qld), https://jade.io/article/966844 ,No Match
2961,441,Section 323–Wounding,s 323 10.7.1 Legislation [Last reviewed: February 2025] Criminal Code Section 323–Wounding 10.7.2 Commentary [Last reviewed: February 2025] The defendant must have:, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.238462,Sentences Act 1992, https://jade.io/article/352736 ,No Match
3190,498,Section 228F–Excluding,Section 207A–Definitions for Chapter 22. Section 228E–Defences for ss 228A-228DC. Section 228F–Excluding non-essential persons from court when child exploitation material displayed. Section, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.24,Penalties and Sentences, https://jade.io/article/352736 ,No Match
3272,525,Section 6,impairment of the mind(version current immediately before 1 August 2023) Section 6 - Carnal Knowledge(version current immediately before 1 August 2023) 11.12.2, https://www.legislation.qld.gov.au/view/html/inforce/2023-03-22/act-1899-009 ,qld,,0.241379,Health and other Legislation Amendment Act 2016, https://jade.io/article/496480 ,No Match
3220,509,Section 207A,2024] Criminal Code Section 228C - Distributing child exploitation material Section 207A - Definitions for Chapter 22 Section 228E - Defences for, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.242152,161Q, https://jade.io/article/352736/section/443071 ,No Match
997,142,Section 57–Continuation,Jury Act 1995(Qld) Section 56–Discharge or death of individual juror Section 57–Continuation of trial with less than full number of jurors Section, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1995-042 ,qld,,0.242424,46, https://jade.io/article/282157/section/785 ,No Match
3207,504,Section 228E–Defences,Section 228B–Making child exploitation material. Section 207A–Definitions for Chapter 22. Section 228E–Defences for ss 228A-228DC Section 228F–Excluding non-essential persons from court when, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.242424,Penalties and Sentences Act 1992, https://jade.io/article/352736 ,No Match
3192,498,Section 228H–Possession,exploitation material displayed. Section 228G–Forfeiture of child exploitation material etc. Section 228H–Possession etc of child exploitation material by law enforcement officer. 11.7.2, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.246032,"(Qld),", https://jade.io/article/352736 ,No Match
4051,739,Section 127–Corruption,s 127 15.2.1 Legislation [Last reviewed: January 2025] Criminal Code Section 127–Corruption of a Witness 15.2.2 Commentary [Last reviewed: January 2025] Section, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.248996,161Q, https://jade.io/article/352736/section/443071 ,No Match
3433,581,Section 210,11.21.1 Legislation [Last reviewed: June 2025] Criminal Code Section 1–Definitions Section 210 –Indecent treatment of children under 16 Section 225–Repealed. Section 229–Knowledge, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.250896,(Qld), https://jade.io/article/352736 ,No Match
3375,567,Section 210,[Last reviewed: June 2025] Criminal Code Section 24–Mistake of fact Section 210 –Indecent treatment of children under 16 Section 216–Abuse of persons, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.251082,1992 (Qld), https://jade.io/article/352736 ,No Match
2920,434,Section 1–Definition,[Last reviewed: November 2024] Criminal Code Section 320–Grievous bodily harm Section 1–Definition of ‘grievous bodily harm’ 10.5.2 Commentary [Last reviewed: November 2024], https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.253061,366)., https://jade.io/article/143131/section/140011 ,No Match
3414,576,Section 636–Evidence,treatment of children under 16 Section 229–Knowledge of age immaterial Section 636–Evidence of blood relationship 11.20.2 Commentary [Last reviewed: June 2025] The, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.253061,1992 (Qld), https://jade.io/article/352736 ,No Match
3865,699,Section 418–Definitions,s 421 13.4.1 Legislation [Last reviewed: September 2024] Criminal Code Section 418–Definitions Section 419–Burglary Section 421 –Entering or being in premises and, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.254545,(2009)40 WAR 116Criminal, https://jade.io/article/61116 ,No Match
3052,470,Section 419,of robbery Section 340–Serious assaults Section 339–Assaults occasioning bodily harm Section 419 - Burglary 10.17.2 Commentary [Last reviewed: September 2024] This Chapter, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.254658,"394,", https://jade.io/article/66915/section/140850 ,No Match
4031,736,Section 140–Attempting,s 140 15.1.1 Legislation [Last reviewed: March 2025] Criminal Code Section 140–Attempting to pervert justice 15.1.2 Commentary [Last reviewed: March 2025] The, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.255144,"(1992)174 CLR 268,", https://jade.io/article/67685 ,No Match
3205,504,Section 228B–Making,April 2005) 11.8.1 Legislation [Last reviewed: October 2024] Criminal Code Section 228B–Making child exploitation material. Section 207A–Definitions for Chapter 22. Section 228E–Defences, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.257353,161Q, https://jade.io/article/352736/section/443071 ,No Match
3496,597,Section 218A–Using,s 218A 11.26.1 Legislation [Last reviewed: March 2025] Criminal Code Section 218A–Using internet etc. to procure children under 16 11.26.2 Commentary [Last, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.257511,161Q, https://jade.io/article/352736/section/443071 ,No Match
3340,557,Section 229–Knowledge,2025] Criminal Code Section 210–Indecent treatment of children under 16 Section 229–Knowledge of age immaterial Section 636–Evidence of blood relationship 11.16.2 Commentary, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.258824,1992 (Qld), https://jade.io/article/352736 ,No Match
3690,641,Section 208–Unlawful,June 1997 Section 208–Unlawful sodomy as at 30 November 2008 Section 208–Unlawful sodomy as at 28 April 2013 Section 208–Unlawful sodomy as, https://www.legislation.qld.gov.au/view/html/2013-04-28/act-1899-009 ,qld,,0.258929,Acts Interpretation, https://jade.io/article/529695 ,No Match
3721,653,Section 208–Unlawful,June 1997 Section 208–Unlawful sodomy as at 30 November 2008 Section 208–Unlawful sodomy as at 28 April 2013 Section 208–Unlawful sodomy as, https://www.legislation.qld.gov.au/view/html/2013-04-28/act-1899-009 ,qld,,0.258929,Acts Interpretation, https://jade.io/article/529695 ,No Match
290,52,Section 613(3),for Trial 2.6.1 Legislation [Last reviewed: February 2026] Criminal Code Section 613(3) – Want of understanding of accused person Section 645–Accused person, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.259109,Crimes Act, https://jade.io/article/281802 ,No Match
4218,783,Section 28–Intoxication,Legislation [Last reviewed: April 2026] Criminal Code Section 27– Insanity Section 28–Intoxication 17.2.2 Commentary [Last reviewed: April 2026] Section 28(1)makes it clear, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.25974,130, https://jade.io/citation/3482123/section/140678 ,No Match
3933,715,Section 425–Possession,s 425(1)(c) 13.8.1 Legislation [Last reviewed: March 2025] Criminal Code Section 425–Possession of things used in connection with unlawful entry 13.8.2 Commentary, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.260223,(1985)157 CLR 523)that, https://jade.io/article/67208 ,No Match
4104,750,Section 69–Going,s 69 15.6.1 Legislation [Last reviewed: December 2024] Criminal Code Section 69–Going armed so as to cause fear 15.6.2 Commentary [Last reviewed:, https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009 ,qld,,0.260504,(1989)38 A Crim R 327., https://jade.io/citation/13019786 ,No Match
