page_no,preceding_text,link_text,link_destination,link_domain,is_jade_link,is_sublink
2,the arguments of counsel (RPS v The Queen (2000)199 CLR,620; [2000]HCA 3)’.,https://anzlaw.thomsonreuters.com/Document/Idb17678087b311e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,thomsonreuters,False,False
3,"See further R v Chai (2002)76 ALJR 628, 632 [18];",[2002]HCA 12.,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/12.pdf,hcourt,False,False
3,"said in RPS v The Queen (2000)199 CLR 620, 637;",[2000]HCA 3,https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/3.pdf,hcourt,FALSE,FALSE
9,the guilty plea as an admission (See R v Rogers,[2013]QCA 52,http://archive.sclqld.org.au/qjudgment/2013/QCA13-052.pdf,sclqld,FALSE,FALSE
13,46(3) of the Jury Act 1995 and R v MacGowan,[2014]QSC 277).,https://archive.sclqld.org.au/qjudgment/2014/QSC14-277.pdf,sclqld,FALSE,FALSE
17,436 and R v Oulds (2014)244 A Crim R 443;,[2014]QCA 223.,https://archive.sclqld.org.au/qjudgment/2014/QCA14-223.pdf,sclqld,False,False
17,[1985]HCA 35; R v Soma (2001)122 A Crim R 537;,[2001]QCA 263.,https://archive.sclqld.org.au/qjudgment/2001/QCA01-263.pdf,sclqld,FALSE,FALSE
18,whom Morrison JA and Atkinson J agreed)in R v Gathercole,"[2016]QCA 336,",https://archive.sclqld.org.au/qjudgment/2016/QCA16-336.pdf,sclqld,FALSE,FALSE
18,of a prosecutor is set out in R v Smith,"[2007]QCA 447,",https://archive.sclqld.org.au/qjudgment/2007/QCA07-447.pdf,sclqld,FALSE,FALSE
19,"Opinions In R v Callaghan [1994]2 Qd R 300, 306;","[1993]QCA 419,",https://archive.sclqld.org.au/qjudgment/1993/QCA93-419.pdf,sclqld,FALSE,FALSE
19,a contestant’. Intemperate or Inflammatory Language In R v Smith,"[2007]QCA 447,",https://archive.sclqld.org.au/qjudgment/2007/QCA07-447.pdf,sclqld,FALSE,FALSE
20,"address. In R v Lewis [1994]1 Qd R 613, 627;","[1992]QCA 223,",https://archive.sclqld.org.au/qjudgment/1992/QCA92-223.pdf,sclqld,FALSE,FALSE
20,Final Address R v Smith (2007)179 A Crim R 453;,[2007]QCA 447:,https://archive.sclqld.org.au/qjudgment/2007/QCA07-447.pdf,sclqld,FALSE,FALSE
20,"credit, amounted to a miscarriage of justice. R v Gathercole",[2016]QCA 336:,https://archive.sclqld.org.au/qjudgment/2016/QCA16-336.pdf,sclqld,FALSE,FALSE
21,to follow an impermissible path of reasoning’. R v PBC,[2019]QCA 28:,https://archive.sclqld.org.au/qjudgment/2019/QCA19-028.pdf,sclqld,FALSE,FALSE
22,a fair trial cannot be ensured (See R v Miller,[2007]QCA 373).,https://archive.sclqld.org.au/qjudgment/2007/QCA07-373.pdf,sclqld,FALSE,FALSE
22,1995. See also Smith v The Queen (2015)255 CLR 161;,"[2015]HCA 27,",https://www.hcourt.gov.au/sites/default/files/eresources/2015/HCA/27.pdf,hcourt,FALSE,FALSE
22,"unmistakeable terms. See Wu v The Queen (1999)199 CLR 99,134[103];","[1999]HCA 52,",https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-30/HCA/Wu%20v%20The%20Queen%20%28S22-1999%29%20%5B1999%5D%20HCA%2052.pdf,hcourt,FALSE,FALSE
23,disclosed in open court. See R v Millar (No 2),"[2013]QCA 29,",https://archive.sclqld.org.au/qjudgment/2013/QCA13-029.pdf,sclqld,FALSE,FALSE
27,Remarks In R v Oulds (2014)244 A Crim R 443;,"[2014]QCA 223,",https://archive.sclqld.org.au/qjudgment/2014/QCA14-223.pdf,sclqld,FALSE,FALSE
28,"provide, then it should be given to them(R v Rope",[2010]QCA 194).,https://archive.sclqld.org.au/qjudgment/2010/QCA10-194.pdf,sclqld,FALSE,FALSE
28,direction is being contemplated(Smith v The Queen (2015)255 CLR 161;,"[2015]HCA 27,",https://www.hcourt.gov.au/sites/default/files/eresources/2015/HCA/27.pdf,hcourt,FALSE,FALSE
28,approach of the majority was approved in R v Lyall,[2016]QCA 350,https://archive.sclqld.org.au/qjudgment/2016/QCA16-350.pdf,sclqld,FALSE,FALSE
39,reliability of the evidence that they are giving(R v Taylor,"[2017]QCA 169,",https://archive.sclqld.org.au/qjudgment/2017/QCA17-169.pdf,sclqld,FALSE,FALSE
39,"[2007]2 Qd R 462, 469 [11]; R v Taylor [2017]","QCA 169,",https://archive.sclqld.org.au/qjudgment/2017/QCA17-169.pdf,sclqld,FALSE,FALSE
