link_id,page_no,link_text,surrounding_text,link_destination,link_domain
1,1,"(2020)3 QR 481,","1 Introduction In the decision of R v Etheridge (2020)3 QR 481, Sofronoff P observed that the following statements from Alford v",https://jade.io/article/716987,jade
2,1,466;,"the following statements from Alford v Magee (1952)85 CLR 437, 466; [1952]HCA 3(Dixon, Williams, Webb, Fullagar, and Kitto JJ)(See also Fingleton",https://jade.io/article/64813/section/141037,jade
3,1,"[1952]HCA 3(Dixon,","following statements from Alford v Magee (1952)85 CLR 437, 466; [1952]HCA 3(Dixon, Williams, Webb, Fullagar, and Kitto JJ)(See also Fingleton v The",https://jade.io/article/64813,jade
4,1,"(2005)226 CLR 166,","Webb, Fullagar, and Kitto JJ)(See also Fingleton v The Queen (2005)226 CLR 166, 196-197; [2005]HCA 34)should constitute the preface to this Benchbook: ‘And",https://jade.io/article/367/section/140825,jade
5,1,196-197;,"Kitto JJ)(See also Fingleton v The Queen (2005)226 CLR 166, 196-197; [2005]HCA 34)should constitute the preface to this Benchbook: ‘And it",https://jade.io/article/309/section/140021,jade
6,1,[2005]HCA 34)should,"JJ)(See also Fingleton v The Queen (2005)226 CLR 166, 196-197; [2005]HCA 34)should constitute the preface to this Benchbook: ‘And it may be",https://jade.io/article/309,jade
7,1,"(1982)74 Cr App R 144,","merely taken ready-made ‘off the peg’(See Nembhard v The Queen (1982)74 Cr App R 144, 148). In Holland v The Queen (1993)117 ALR 193, 200;",https://jade.io/citation/3378205,jade
8,1,148).,"peg’(See Nembhard v The Queen (1982)74 Cr App R 144, 148). In Holland v The Queen (1993)117 ALR 193, 200; [1993]HCA",https://jade.io/citation/3378205/section/140214,jade
9,1,200;,"144, 148). In Holland v The Queen (1993)117 ALR 193, 200; [1993]HCA 43, the High Court approved a statement in R",https://jade.io/article/67774/section/140125,jade
10,1,"[1993]HCA 43,","148). In Holland v The Queen (1993)117 ALR 193, 200; [1993]HCA 43, the High Court approved a statement in R v Lawrence",https://jade.io/article/67774,jade
