link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link
3,1,466;,"the following statements from Alford v Magee (1952)85 CLR 437, 466; [1952]HCA 3(Dixon, Williams, Webb, Fullagar, and Kitto JJ)(See also Fingleton",https://jade.io/article/64813/section/141037,jade,Not Required
6,1,196-197;,"Kitto JJ)(See also Fingleton v The Queen (2005)226 CLR 166, 196-197; [2005]HCA 34)should constitute the preface to this Benchbook: ‘And it",https://jade.io/article/309/section/140021,jade,Not Required
10,1,148).,"peg’(See Nembhard v The Queen (1982)74 Cr App R 144, 148). In Holland v The Queen (1993)117 ALR 193, 200; [1993]HCA",https://jade.io/citation/3378205/section/140214,jade,Not Required
11,1,200;,"144, 148). In Holland v The Queen (1993)117 ALR 193, 200; [1993]HCA 43, the High Court approved a statement in R",https://jade.io/article/67774/section/140125,jade,Not Required
14,1,519,"Court approved a statement in R v Lawrence [1982]AC 510, 519 that ‘a direction to a jury should be custom built",https://jade.io/citation/2795362/section/140093,jade,Not Required
16,1,426-427,"case’. Cf R v Mogg (2000)112 A Crim R 417, 426-427 [50]-[52], 429-431 [70]-[74]; [2000]QCA 244; R v Hytch (2000)114 A",https://jade.io/article/166653/section/4362,jade,Not Required
18,1,429-431,"R v Mogg (2000)112 A Crim R 417, 426-427 [50]-[52], 429-431 [70]-[74]; [2000]QCA 244; R v Hytch (2000)114 A Crim R",https://jade.io/article/166653/section/31708,jade,Not Required
23,1,575,"[2000]QCA 244; R v Hytch (2000)114 A Crim R 573, 575 [10]; [2000]QCA 315: ‘A trial judge ordinarily has an obligation",https://jade.io/article/166708/section/140725,jade,Not Required
30,2,275-278,"Sofronoff P explained in R v Sunderland (2020)5 QR 261, 275-278 [55], sample directions are not to be: ‘treated as a",https://jade.io/article/757345/section/140529,jade,Not Required
33,2,281,"also McGreevy v Director of Public Prosecutions [1973]1 WLR 276, 281. Trial Judge’s Role in Summing Up A summing up should",https://jade.io/citation/2759931/section/140198,jade,Not Required
35,2,367;,"it should display. See R v Landy [1981]1 WLR 355, 367; Flesch v The Queen (1986)7 NSWLR 554, particularly at 558,",https://jade.io/citation/2764448/section/140204,jade,Not Required
37,2,"558,","367; Flesch v The Queen (1986)7 NSWLR 554, particularly at 558, where Street CJ stated ‘a summing up should be as",https://jade.io/article/806595/section/140465,jade,Not Required
39,2,495,"of the evidence. See R v Sparrow [1973]1 WLR 488, 495. In Holland, the High Court approved a statement from Lawrence",https://jade.io/citation/2765095/section/140246,jade,Not Required
41,2,426;,"a particular offence. See R v Mowatt [1968]1 QB 421, 426; [1967]EWCA Crim 1. In Holland, the High Court approved a",https://jade.io/citation/2700021/section/140006,jade,Not Required
45,2,430,"64; and R v Mogg (2000)112 A Crim R 417, 430 [71]-[72]; [2000]QCA 244: ‘A trial judge’s duty … will rarely",https://jade.io/article/166653/section/4654,jade,Not Required
49,3,632,"facts …’ See further R v Chai (2002)76 ALJR 628, 632 [18]; [2002]HCA 12. In R v Ita [2003]NSWCCA 174, the",https://jade.io/article/68320/section/1035,jade,Not Required
53,3,[90],"In R v Ita [2003]NSWCCA 174, the Court remarked at [90] inter alia that: ‘[t]he precise nature of the task of",https://jade.io/article/183676/section/1087,jade,Not Required
55,3,427,"way in R v Mogg (2000)112 A Crim R 417, 427 [54]; [2000]QCA 244: ‘The onerous duties of a trial judge",https://jade.io/article/166653/section/788,jade,Not Required
59,3,637;,"JJ said in RPS v The Queen (2000)199 CLR 620, 637; [2000]HCA 3 that: • the fundamental task of a trial",https://jade.io/article/68197/section/140607,jade,Not Required
62,7,28(2),to attend court in response to a summons. See s 28(2) of the Jury Act 1995. If a judge chooses to,https://jade.io/article/352986/section/3040,jade,Not Required
63,7,Jury Act,"in response to a summons. See s 28(2) of the Jury Act 1995. If a judge chooses to do so, see as",https://jade.io/article/352986,jade,Not Required
67,9,640).,"The Queen; Ex parte Attorney-General (Qld) [1996]1 Qd R 631, 640). If there is more than one defendant, the associate goes",https://jade.io/article/206006/section/140777,jade,Not Required
70,10,"43,","challenges. For the rules governing challenges for cause, see ss 43, 47 of the Jury Act 1995. It is necessary for",https://jade.io/article/352986/section/102,jade,Not Required
71,10,47,"For the rules governing challenges for cause, see ss 43, 47 of the Jury Act 1995. It is necessary for an",https://jade.io/article/352986/section/424,jade,Not Required
75,10,458,"audible to the court(R v Shambayati [2017]1 Qd R 453, 458 [16]). See also ss 39, 41 of the Jury Act",https://jade.io/article/462160/section/140124,jade,Not Required
77,10,"39,","Shambayati [2017]1 Qd R 453, 458 [16]). See also ss 39, 41 of the Jury Act 1995. Jury Impartiality: Judge’s Remarks",https://jade.io/article/352986/section/1978,jade,Not Required
78,10,41,"[2017]1 Qd R 453, 458 [16]). See also ss 39, 41 of the Jury Act 1995. Jury Impartiality: Judge’s Remarks to",https://jade.io/article/352986/section/295,jade,Not Required
99,17,211-212;,"evidence. See Kern v The Queen [1986]2 Qd R 209, 211-212; R v Chin (1985)157 CLR 671; [1985]HCA 35; R v",https://jade.io/citation/2674667/section/140966,jade,Not Required
105,18,[49]:,"JA and Atkinson J agreed)in R v Gathercole [2016]QCA 336, [49]: ‘It is well established that in conducting an Australian criminal",https://jade.io/article/508903/section/1625,jade,Not Required
107,18,[38],"prosecutor is set out in R v Smith [2007]QCA 447, [38] by McMurdo P(Keane JA and Daubney J agreeing). The Limits",https://jade.io/article/19155/section/1252,jade,Not Required
110,18,"[31],","in Livermore v The Queen (2006)67 NSWLR 659; [2006]NSWCCA 334, [31], identified a number of matters in a prosecutor’s address which",https://jade.io/article/2501/section/1017,jade,Not Required
111,19,306;,"Personal Opinions In R v Callaghan [1994]2 Qd R 300, 306; [1993]QCA 419, the Court of Appeal held that: ‘… it",https://jade.io/article/205748/section/140753,jade,Not Required
114,19,"[39]-[40],","Intemperate or Inflammatory Language In R v Smith [2007]QCA 447, [39]-[40], McMurdo P(Keane JA and Daubney J agreeing)said: ‘In determining whether",https://jade.io/article/19155/section/5033,jade,Not Required
118,20,627;,"closing address. In R v Lewis [1994]1 Qd R 613, 627; [1992]QCA 223, Macrossan CJ said: ‘Counsel should not suggest or",https://jade.io/article/205369/section/140612,jade,Not Required
125,21,217).,"(See Gibbs J in R v Hally [1962]Qd R 214, 217). However, as noted in R v Miller [2007]QCA 373, [3],",https://jade.io/citation/2421318/section/140452,jade,Not Required
127,21,"[3],","217). However, as noted in R v Miller [2007]QCA 373, [3], a trial judge has power to adjourn a criminal trial",https://jade.io/article/16851/section/140887,jade,Not Required
129,22,33,(See R v Miller [2007]QCA 373). Discharging a Juror Section 33 of the Jury Act 1995 enshrines the common law principle,https://jade.io/article/352986/section/553,jade,Not Required
132,22,56,"jury of 12. However, that principle is qualified by s 56 of the Jury Act 1995, pursuant to which a judge",https://jade.io/article/352986/section/2189,jade,Not Required
138,22,60(1),a view on whether to discharge the jury under s 60(1) of the Jury Act 1995. See also Smith v The,https://jade.io/article/352986/section/8652,jade,Not Required
143,22,"[47],","also Smith v The Queen (2015)255 CLR 161; [2015]HCA 27, [47], [49]. The judge has a discretion under s 57 of",https://jade.io/article/402565/section/777,jade,Not Required
144,22,[49].,"Smith v The Queen (2015)255 CLR 161; [2015]HCA 27, [47], [49]. The judge has a discretion under s 57 of the",https://jade.io/article/402565/section/1625,jade,Not Required
152,22,[103].,"See Wu v The Queen (1999)199 CLR 99,134[103]; [1999]HCA 52, [103]. Ordinarily that will be made by the judge making two",https://jade.io/article/68154/section/140961,jade,Not Required
157,22,34(4),"the reserve jurors(if there is more than one). See s 34(4) of the Jury Act 1995, which provides that the reserve",https://jade.io/article/352986/section/4436,jade,Not Required
164,23,[31]).,"v Beattie (2008) 188 A Crim R 542; [2008]QCA 299, [31]). Where a juror’s note raises an issue or issues that",https://jade.io/article/84052/section/1017,jade,Not Required
166,23,[27].,"open court. See R v Millar (No 2) [2013]QCA 29, [27]. The judge should mark the note as an exhibit for",https://jade.io/article/290755/section/140176,jade,Not Required
168,23,53(7)(a),"of the judge directly. Separation of Jury Pursuant to s 53(7)(a) of the Jury Act 1995, after the jury has retired",https://jade.io/article/352986/section/31439,jade,Not Required
176,25,218).,"prejudge the punishment(Cf R v Williams [2001]1 Qd R 212, 218). The associate calls upon the defendant by saying: See Criminal",https://jade.io/article/166379/section/140599,jade,Not Required
181,27,51;,the charge contained in the indictment: Jury Act 1995 s 51; (b) the jury’s duty on the trial: Jury Act 1995,https://jade.io/article/352986/section/144,jade,Not Required
187,27,69A.,"about the defendant in the trial: Jury Act 1995 s 69A. Although not specifically mentioned by legislation, the judge may also",https://jade.io/article/352986/section/11604,jade,Not Required
194,28,"[35],","being contemplated(Smith v The Queen (2015)255 CLR 161; [2015]HCA 27, [35], [42], [45], [53], [54], [58]). Taking of Verdicts As a",https://jade.io/article/402565/section/140690,jade,Not Required
195,28,"[42],","contemplated(Smith v The Queen (2015)255 CLR 161; [2015]HCA 27, [35], [42], [45], [53], [54], [58]). Taking of Verdicts As a general",https://jade.io/article/402565/section/140755,jade,Not Required
196,28,"[45],","v The Queen (2015)255 CLR 161; [2015]HCA 27, [35], [42], [45], [53], [54], [58]). Taking of Verdicts As a general rule,",https://jade.io/article/402565/section/140602,jade,Not Required
197,28,"[53],","The Queen (2015)255 CLR 161; [2015]HCA 27, [35], [42], [45], [53], [54], [58]). Taking of Verdicts As a general rule, a",https://jade.io/article/402565/section/140574,jade,Not Required
198,28,"[54],","Queen (2015)255 CLR 161; [2015]HCA 27, [35], [42], [45], [53], [54], [58]). Taking of Verdicts As a general rule, a trial",https://jade.io/article/402565/section/788,jade,Not Required
199,28,[58]).,"(2015)255 CLR 161; [2015]HCA 27, [35], [42], [45], [53], [54], [58]). Taking of Verdicts As a general rule, a trial judge",https://jade.io/article/402565/section/140806,jade,Not Required
202,28,"[94]-[96],","approved in R v Lyall [2016]QCA 350 (McMurdo JA at [94]-[96], Morrison JA agreeing)). Note, however, that in R v Ngakyunkwokka",https://jade.io/article/510362/section/140853,jade,Not Required
204,28,320,"Note, however, that in R v Ngakyunkwokka (2023)14 QR 295, 320 [88], 321-322 [93]-[96] the Court considered some interstate authorities, as",https://jade.io/article/985871/section/613,jade,Not Required
206,28,321-322,"that in R v Ngakyunkwokka (2023)14 QR 295, 320 [88], 321-322 [93]-[96] the Court considered some interstate authorities, as well as",https://jade.io/article/985871/section/12833,jade,Not Required
212,30,343;,"up (R v Bellino (1992) 59 A Crim R 322, 343; R v Glennon (1992) 173 CLR 592, 603-604, 616, 624;",https://jade.io/article/205190/section/139926,jade,Not Required
214,30,"603-604,","R 322, 343; R v Glennon (1992) 173 CLR 592, 603-604, 616, 624; [1992] HCA 16)). The following additional direction might",https://jade.io/article/67675/section/3208,jade,Not Required
215,30,"616,","322, 343; R v Glennon (1992) 173 CLR 592, 603-604, 616, 624; [1992] HCA 16)). The following additional direction might be",https://jade.io/article/67675/section/140439,jade,Not Required
216,30,624;,"343; R v Glennon (1992) 173 CLR 592, 603-604, 616, 624; [1992] HCA 16)). The following additional direction might be given",https://jade.io/article/67675/section/140219,jade,Not Required
219,32,Evidence Act,a child witness’s evidence is to be admitted pursuant to Evidence Act 1977 (Qld) s 93A and/or a pre-recording of evidence is,https://jade.io/article/353262,jade,Not Required
222,32,93A,to be admitted pursuant to Evidence Act 1977 (Qld) s 93A and/or a pre-recording of evidence is to be played during,https://jade.io/article/353262/section/12479,jade,Not Required
227,39,469,"receives a fair trial’(R v Tichowitsch [2007]2 Qd R 462, 469 [9]). Relevant considerations will include the following: It is our",https://jade.io/article/169602/section/8,jade,Not Required
230,39,[16]).,"the evidence that they are giving(R v Taylor [2017]QCA 169, [16]). If the jury are provided with a transcript of the",https://jade.io/article/543834/section/140124,jade,Not Required
232,39,61,"in their absence (R v Martinez [2016]2 Qd R 54, 61 [15]-[16], 63 [29]-[30], 64-65 [41]-[42]). This may extend to excising",https://jade.io/article/409903/section/1487,jade,Not Required
