link_id,page_no,link_text,surrounding_text,link_destination,link_domain
1,1,"(2020)3 QR 481,","1 Introduction In the decision of R v Etheridge (2020)3 QR 481, Sofronoff P observed that the following statements from Alford v",https://www.queenslandjudgments.com.au/case/id/512879,queenslandjudgments
20,1,[2000]QCA 244;,"Mogg (2000)112 A Crim R 417, 426-427 [50]-[52], 429-431 [70]-[74]; [2000]QCA 244; R v Hytch (2000)114 A Crim R 573, 575 [10];",https://www.queenslandjudgments.com.au/caselaw/qca/2000/244,queenslandjudgments
25,1,[2000]QCA 315:,"R v Hytch (2000)114 A Crim R 573, 575 [10]; [2000]QCA 315: ‘A trial judge ordinarily has an obligation to sum up",https://www.queenslandjudgments.com.au/caselaw/qca/2000/315,queenslandjudgments
29,2,"(2020)5 QR 261,","[2000]HCA 3)’. As Sofronoff P explained in R v Sunderland (2020)5 QR 261, 275-278 [55], sample directions are not to be: ‘treated as",https://www.queenslandjudgments.com.au/citation/2020-5-QR-261,queenslandjudgments
43,2,[1998]QCA 64;,"case’. See also R v Adams; Ex parte Attorney-General (Qld) [1998]QCA 64; and R v Mogg (2000)112 A Crim R 417, 430",https://www.queenslandjudgments.com.au/caselaw/qca/1998/64,queenslandjudgments
47,2,[2000]QCA 244:,"R v Mogg (2000)112 A Crim R 417, 430 [71]-[72]; [2000]QCA 244: ‘A trial judge’s duty … will rarely if ever be",https://www.queenslandjudgments.com.au/caselaw/qca/2000/244,queenslandjudgments
57,3,[2000]QCA 244:,"R v Mogg (2000)112 A Crim R 417, 427 [54]; [2000]QCA 244: ‘The onerous duties of a trial judge will ordinarily include",https://www.queenslandjudgments.com.au/caselaw/qca/2000/244,queenslandjudgments
66,9,"[1996]1 Qd R 631,","52 and Collins v The Queen; Ex parte Attorney-General (Qld) [1996]1 Qd R 631, 640). If there is more than one defendant, the associate",https://www.queenslandjudgments.com.au/case/id/502822,queenslandjudgments
74,10,"[2017]1 Qd R 453,","counsel)that the challenge be audible to the court(R v Shambayati [2017]1 Qd R 453, 458 [16]). See also ss 39, 41 of the Jury",https://www.queenslandjudgments.com.au/citation/2017-1-Qd-R-453,queenslandjudgments
95,17,[1997]2 Qd R 436,"the trial after the Crown opening, see R v Nona [1997]2 Qd R 436 and R v Oulds (2014)244 A Crim R 443; [2014]QCA",https://www.queenslandjudgments.com.au/case/id/507020,queenslandjudgments
