metadata,count,array_agg,array_agg
"{""mnc"": ""[2006] NSWCA 184"", ""href"": ""https://jade.io/article/518""}",1,{ch_wilful_damage},{Chapter 13.11 Wilful Damage s 469.docx}
"{""mnc"": ""[2013] VSC 743"", ""href"": ""https://jade.io/article/312939/section/140848""}",1,{ch_jones_v_dunkel},{Chapter 4.6 The Rule in Jones v Dunkel.docx}
"{""mnc"": ""[2020] VSC 500"", ""href"": ""https://jade.io/article/760582""}",1,{ch_child_witnesses_93a},{Chapter 2.12 Child Witnesses 93A Statements.docx}
"{""mnc"": ""Crimes Act 1958 (Vic)"", ""href"": ""https://jade.io/article/281802/section/443""}",1,{ch_witness_competency},"{""Chapter 2.7 Competency of Witnesses, Including Children.docx""}"
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/2730""}",1,{ch_general},{Chapter 3.1 General.docx}
"{""mnc"": ""[2016] EWHC Ch 1464"", ""href"": ""https://jade.io/citation/6734885/section/140887""}",1,{ch_distributing_child_exploitation_material},{Chapter 11.9 Distributing Child Exploitation Material s 228C.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/639766""}",1,{ch_evidence_affected_children},{Chapter 2.11 Evidence of Affected Children.docx}
"{""mnc"": ""Migration Regulations 1994 (Cth)"", ""href"": ""https://jade.io/article/221946""}",1,{ch_assault},{Chapter 10.1 Assault s 335.docx}
"{""mnc"": ""[2018] VSCA 161"", ""href"": ""https://jade.io/article/593294""}",1,{ch_accessory_after_fact},{Chapter 7.4 Accessory After the Fact.docx}
"{""mnc"": ""[2014] VSCA 119"", ""href"": ""https://jade.io/article/336740/section/140124""}",1,{ch_preliminary_complaint},{Chapter 5.3 Preliminary Complaint.docx}
"{""mnc"": ""[2020] VSCA 136"", ""href"": ""https://jade.io/article/736694/section/140879""}",1,{ch_circumstantial_evidence},{Chapter 4.24 Circumstantial Evidence.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/3036""}",1,{ch_jury_failure_to_agree},{Chapter 3.6 Jury Failure to Agree.docx}
"{""mnc"": ""Electronic Transactions Act 2000 (NSW)"", ""href"": ""https://jade.io/article/275689/section/239""}",1,{ch_fraud},{Chapter 13.6 Fraud s 408C.docx}
"{""mnc"": ""[2017] VSC 640"", ""href"": ""https://jade.io/article/551109""}",1,{ch_abuse_impairment_penile_intercourse},{Chapter 11.11 Abuse (Attempted or Actual Penile Intercourse) of Persons with an Impairment of the Mind s 216(1).docx}
"{""mnc"": ""[2022] FCAFC 62"", ""href"": ""https://jade.io/article/912670""}",1,{ch_sexual_offence_aggravation},{Chapter 11.1 Circumstances of Aggravation in Sexual Offences.docx}
"{""mnc"": ""[2011] HCA 49"", ""href"": ""https://jade.io/article/258459""}",1,{ch_indecent_photograph_child},{Chapter 11.21 Indecent Dealing Taking an Indecent Photograph Etc of a Child Under 16 s 210(1)(f).docx}
"{""mnc"": ""Sale of Goods Act 1923 (NSW)"", ""href"": ""https://jade.io/article/276983/section/4509""}",1,{ch_damaging_evidence},{Chapter 15.3 Damaging Evidence with Intent s 129.docx}
"{""mnc"": ""[2010] VSCA 192"", ""href"": ""https://jade.io/article/196725""}",1,{ch_fingerprints},{Chapter 4.27 Fingerprints.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/8620""}",1,{ch_views_demonstrations},{Chapter 2.23 Views and Demonstrations.docx}
"{""mnc"": ""[2018] WASC 310"", ""href"": ""https://jade.io/article/614811""}",1,{ch_grooming_children_parent_carer},{Chapter 11.15 Grooming Children Under 16 or Parent or Carer.docx}
"{""mnc"": ""[1919] 2 KB 571"", ""href"": ""https://jade.io/citation/479989""}",1,{ch_sodomy_208_1_c},{Chapter 11.34 Sodomy s 208(1)(c).docx}
